dataset,math_density,is_hallucination,confidence,sample_id
clean,0.000000,1,0.535101,clean_0
clean,0.000000,1,0.520788,clean_1
clean,0.000000,1,0.546358,clean_2
clean,0.000000,1,0.532518,clean_3
clean,0.000000,1,0.536217,clean_4
clean,0.000000,1,0.526891,clean_5
clean,0.000000,1,0.532157,clean_6
clean,0.000000,1,0.528370,clean_7
clean,0.000000,1,0.522249,clean_8
clean,0.000000,1,0.530507,clean_9
clean,0.000000,1,0.551427,clean_10
clean,0.000000,1,0.517348,clean_11
clean,0.000000,1,0.535462,clean_12
clean,0.000000,1,0.526964,clean_13
clean,0.000000,1,0.522606,clean_14
clean,0.000000,1,0.524261,clean_15
clean,0.000000,1,0.531270,clean_16
clean,0.000000,1,0.522822,clean_17
clean,0.000000,1,0.517837,clean_18
clean,0.000000,1,0.542324,clean_19
clean,0.000000,1,0.538617,clean_20
clean,0.000000,1,0.543186,clean_21
clean,0.000000,1,0.527011,clean_22
clean,0.000000,1,0.526496,clean_23
clean,0.000000,1,0.520510,clean_24
clean,0.000000,1,0.551367,clean_25
clean,0.000000,1,0.508834,clean_26
clean,0.000000,1,0.527597,clean_27
clean,0.000000,1,0.522896,clean_28
clean,0.000000,1,0.528051,clean_29
clean,0.000000,1,0.519721,clean_30
clean,0.000000,1,0.525399,clean_31
clean,0.000000,1,0.515382,clean_32
clean,0.000000,1,0.539872,clean_33
clean,0.000000,1,0.533411,clean_34
clean,0.000000,1,0.525308,clean_35
clean,0.000000,1,0.543482,clean_36
clean,0.000000,1,0.517331,clean_37
clean,0.000000,1,0.512734,clean_38
clean,0.000000,1,0.511148,clean_39
clean,0.000000,1,0.517974,clean_40
clean,0.000000,1,0.536503,clean_41
clean,0.000000,1,0.533386,clean_42
clean,0.000000,1,0.530433,clean_43
clean,0.000000,1,0.521699,clean_44
clean,0.000000,1,0.523206,clean_45
clean,0.000000,1,0.518568,clean_46
clean,0.000000,0,0.481642,clean_47
clean,0.000000,1,0.552063,clean_48
clean,0.000000,1,0.500196,clean_49
clean,0.000000,1,0.551968,clean_50
clean,0.000000,1,0.514522,clean_51
clean,0.000000,1,0.513789,clean_52
clean,0.000000,1,0.539685,clean_53
clean,0.000000,1,0.531550,clean_54
clean,0.000000,1,0.524021,clean_55
clean,0.000000,1,0.540903,clean_56
clean,0.000000,1,0.541664,clean_57
clean,0.000000,1,0.551007,clean_58
clean,0.000000,1,0.526815,clean_59
clean,0.000000,1,0.528237,clean_60
clean,0.000000,1,0.559410,clean_61
clean,0.000000,1,0.542511,clean_62
clean,0.000000,1,0.527043,clean_63
clean,0.000000,1,0.552522,clean_64
clean,0.000000,1,0.516754,clean_65
clean,0.000000,1,0.542212,clean_66
clean,0.000000,1,0.542227,clean_67
clean,0.000000,1,0.529230,clean_68
clean,0.000000,1,0.507602,clean_69
clean,0.000000,1,0.548663,clean_70
clean,0.000000,1,0.507587,clean_71
clean,0.000000,1,0.522250,clean_72
clean,0.000000,1,0.530142,clean_73
clean,0.000000,1,0.548850,clean_74
clean,0.000000,1,0.527909,clean_75
clean,0.000000,1,0.514620,clean_76
clean,0.000000,1,0.521971,clean_77
clean,0.000000,1,0.534884,clean_78
clean,0.000000,1,0.524003,clean_79
clean,0.000000,1,0.559423,clean_80
clean,0.000000,1,0.556785,clean_81
clean,0.000000,1,0.533458,clean_82
clean,0.000000,1,0.519317,clean_83
clean,0.000000,1,0.539010,clean_84
clean,0.000000,1,0.528768,clean_85
clean,0.000000,1,0.518385,clean_86
clean,0.000000,1,0.532677,clean_87
clean,0.000000,1,0.528978,clean_88
clean,0.000000,1,0.536669,clean_89
clean,0.000000,1,0.535187,clean_90
clean,0.000000,1,0.542473,clean_91
clean,0.000000,1,0.527360,clean_92
clean,0.000000,1,0.526160,clean_93
clean,0.000000,1,0.519232,clean_94
clean,0.000000,1,0.515267,clean_95
clean,0.000000,1,0.514877,clean_96
clean,0.000000,1,0.538613,clean_97
clean,0.000000,1,0.531474,clean_98
clean,0.000000,1,0.525605,clean_99
clean,0.000000,1,0.513253,clean_100
clean,0.000000,1,0.517020,clean_101
clean,0.000000,0,0.499384,clean_102
clean,0.000000,1,0.537557,clean_103
clean,0.000000,1,0.500848,clean_104
clean,0.000000,1,0.525823,clean_105
clean,0.000000,1,0.505073,clean_106
clean,0.000000,1,0.538983,clean_107
clean,0.000000,1,0.515444,clean_108
clean,0.000000,1,0.519072,clean_109
clean,0.000000,1,0.505261,clean_110
clean,0.000000,1,0.533569,clean_111
clean,0.000000,1,0.539969,clean_112
clean,0.000000,1,0.509555,clean_113
clean,0.000000,1,0.506832,clean_114
clean,0.000000,1,0.529102,clean_115
clean,0.000000,1,0.500691,clean_116
clean,0.000000,1,0.536761,clean_117
clean,0.000000,1,0.527804,clean_118
clean,0.000000,0,0.499699,clean_119
clean,0.000000,1,0.530834,clean_120
clean,0.000000,1,0.527855,clean_121
clean,0.000000,0,0.497834,clean_122
clean,0.000000,1,0.531189,clean_123
clean,0.000000,1,0.544176,clean_124
clean,0.000000,1,0.515310,clean_125
clean,0.000000,1,0.553228,clean_126
clean,0.000000,1,0.526686,clean_127
clean,0.000000,1,0.527186,clean_128
clean,0.000000,1,0.538734,clean_129
clean,0.000000,1,0.533991,clean_130
clean,0.000000,1,0.539373,clean_131
clean,0.000000,1,0.534973,clean_132
clean,0.000000,1,0.509385,clean_133
clean,0.000000,1,0.515759,clean_134
clean,0.000000,1,0.521971,clean_135
clean,0.000000,1,0.524472,clean_136
clean,0.000000,1,0.549761,clean_137
clean,0.000000,1,0.531442,clean_138
clean,0.000000,1,0.531174,clean_139
clean,0.000000,1,0.525772,clean_140
clean,0.000000,1,0.517409,clean_141
clean,0.000000,1,0.528263,clean_142
clean,0.000000,1,0.533525,clean_143
clean,0.000000,1,0.567258,clean_144
clean,0.000000,1,0.542816,clean_145
clean,0.000000,1,0.523989,clean_146
clean,0.000000,1,0.522473,clean_147
clean,0.000000,1,0.542262,clean_148
clean,0.000000,1,0.520024,clean_149
clean,0.000000,1,0.542841,clean_150
clean,0.000000,1,0.546673,clean_151
clean,0.000000,1,0.520144,clean_152
clean,0.000000,1,0.526681,clean_153
clean,0.000000,1,0.520608,clean_154
clean,0.000000,1,0.534884,clean_155
clean,0.000000,1,0.534242,clean_156
clean,0.000000,1,0.551568,clean_157
clean,0.000000,1,0.513824,clean_158
clean,0.000000,1,0.544475,clean_159
clean,0.000000,1,0.515770,clean_160
clean,0.000000,1,0.515234,clean_161
clean,0.000000,1,0.530775,clean_162
clean,0.000000,1,0.518543,clean_163
clean,0.000000,1,0.515862,clean_164
clean,0.000000,1,0.529535,clean_165
clean,0.000000,1,0.529194,clean_166
clean,0.000000,1,0.534714,clean_167
clean,0.000000,1,0.526819,clean_168
clean,0.000000,1,0.530159,clean_169
clean,0.000000,1,0.523607,clean_170
clean,0.000000,1,0.521957,clean_171
clean,0.000000,1,0.558289,clean_172
clean,0.000000,1,0.553123,clean_173
clean,0.000000,1,0.515017,clean_174
clean,0.000000,1,0.517644,clean_175
clean,0.000000,1,0.545652,clean_176
clean,0.000000,1,0.538549,clean_177
clean,0.000000,1,0.542629,clean_178
clean,0.000000,1,0.518556,clean_179
clean,0.000000,1,0.522221,clean_180
clean,0.000000,1,0.524148,clean_181
clean,0.000000,1,0.549901,clean_182
clean,0.000000,1,0.534399,clean_183
clean,0.000000,1,0.560436,clean_184
clean,0.000000,1,0.512112,clean_185
clean,0.000000,1,0.541376,clean_186
clean,0.000000,1,0.536148,clean_187
clean,0.000000,1,0.525627,clean_188
clean,0.000000,1,0.535313,clean_189
clean,0.000000,1,0.506225,clean_190
clean,0.000000,1,0.521154,clean_191
clean,0.000000,1,0.539890,clean_192
clean,0.000000,1,0.537783,clean_193
clean,0.000000,1,0.518671,clean_194
clean,0.000000,1,0.535568,clean_195
clean,0.000000,1,0.508504,clean_196
clean,0.000000,1,0.534403,clean_197
clean,0.000000,1,0.525912,clean_198
clean,0.000000,1,0.503346,clean_199
contaminated,0.217391,1,0.517014,cont_0
contaminated,0.117647,1,0.503566,cont_1
contaminated,0.055556,1,0.510409,cont_2
contaminated,0.111111,1,0.540769,cont_3
contaminated,0.171429,1,0.524523,cont_4
contaminated,0.071429,1,0.510663,cont_5
contaminated,0.102564,1,0.514300,cont_6
contaminated,0.142857,1,0.507407,cont_7
contaminated,0.085714,1,0.513801,cont_8
contaminated,0.120000,1,0.518916,cont_9
contaminated,0.108108,1,0.543547,cont_10
contaminated,0.090909,1,0.528062,cont_11
contaminated,0.117647,1,0.511862,cont_12
contaminated,0.142857,1,0.513859,cont_13
contaminated,0.117647,1,0.526681,cont_14
contaminated,0.111111,1,0.512838,cont_15
contaminated,0.269231,1,0.531013,cont_16
contaminated,0.090909,1,0.525161,cont_17
contaminated,0.133333,1,0.538643,cont_18
contaminated,0.230769,1,0.528502,cont_19
contaminated,0.176471,1,0.510722,cont_20
contaminated,0.041667,1,0.514714,cont_21
contaminated,0.085714,1,0.530935,cont_22
contaminated,0.078947,1,0.534710,cont_23
contaminated,0.125000,1,0.519043,cont_24
contaminated,0.133333,1,0.505669,cont_25
contaminated,0.100000,1,0.526012,cont_26
contaminated,0.071429,1,0.535242,cont_27
contaminated,0.153846,1,0.530834,cont_28
contaminated,0.185185,1,0.533345,cont_29
contaminated,0.153846,1,0.508243,cont_30
contaminated,0.153846,1,0.525499,cont_31
contaminated,0.241379,1,0.538635,cont_32
