dataset,math_density,is_hallucination,confidence,sample_id
clean,0.000000,0,0.463476,clean_0
clean,0.000000,0,0.479924,clean_1
clean,0.000000,0,0.454078,clean_2
clean,0.000000,0,0.466719,clean_3
clean,0.000000,0,0.463482,clean_4
clean,0.000000,0,0.472232,clean_5
clean,0.000000,0,0.466967,clean_6
clean,0.000000,0,0.472049,clean_7
clean,0.000000,0,0.477703,clean_8
clean,0.000000,0,0.467197,clean_9
clean,0.000000,0,0.449538,clean_10
clean,0.000000,0,0.481296,clean_11
clean,0.000000,0,0.462993,clean_12
clean,0.000000,0,0.473041,clean_13
clean,0.000000,0,0.478153,clean_14
clean,0.000000,0,0.477594,clean_15
clean,0.000000,0,0.468147,clean_16
clean,0.000000,0,0.476077,clean_17
clean,0.000000,0,0.483890,clean_18
clean,0.000000,0,0.458288,clean_19
clean,0.000000,0,0.461826,clean_20
clean,0.000000,0,0.455974,clean_21
clean,0.000000,0,0.472371,clean_22
clean,0.000000,0,0.472274,clean_23
clean,0.000000,0,0.479253,clean_24
clean,0.000000,0,0.447416,clean_25
clean,0.000000,0,0.490977,clean_26
clean,0.000000,0,0.472808,clean_27
clean,0.000000,0,0.477200,clean_28
clean,0.000000,0,0.472187,clean_29
clean,0.000000,0,0.480312,clean_30
clean,0.000000,0,0.472992,clean_31
clean,0.000000,0,0.484890,clean_32
clean,0.000000,0,0.460014,clean_33
clean,0.000000,0,0.467592,clean_34
clean,0.000000,0,0.474690,clean_35
clean,0.000000,0,0.456393,clean_36
clean,0.000000,0,0.483172,clean_37
clean,0.000000,0,0.487619,clean_38
clean,0.000000,0,0.489106,clean_39
clean,0.000000,0,0.482322,clean_40
clean,0.000000,0,0.463697,clean_41
clean,0.000000,0,0.467545,clean_42
clean,0.000000,0,0.469598,clean_43
clean,0.000000,0,0.477430,clean_44
clean,0.000000,0,0.477214,clean_45
clean,0.000000,0,0.482136,clean_46
clean,0.000000,1,0.517442,clean_47
clean,0.000000,0,0.447956,clean_48
clean,0.000000,0,0.498902,clean_49
clean,0.000000,0,0.447817,clean_50
clean,0.000000,0,0.486004,clean_51
clean,0.000000,0,0.486459,clean_52
clean,0.000000,0,0.460197,clean_53
clean,0.000000,0,0.467623,clean_54
clean,0.000000,0,0.475982,clean_55
clean,0.000000,0,0.459742,clean_56
clean,0.000000,0,0.457220,clean_57
clean,0.000000,0,0.449738,clean_58
clean,0.000000,0,0.472423,clean_59
clean,0.000000,0,0.473717,clean_60
clean,0.000000,0,0.439795,clean_61
clean,0.000000,0,0.457604,clean_62
clean,0.000000,0,0.473586,clean_63
clean,0.000000,0,0.448327,clean_64
clean,0.000000,0,0.484086,clean_65
clean,0.000000,0,0.458372,clean_66
clean,0.000000,0,0.457436,clean_67
clean,0.000000,0,0.471452,clean_68
clean,0.000000,0,0.492386,clean_69
clean,0.000000,0,0.451466,clean_70
clean,0.000000,0,0.492860,clean_71
clean,0.000000,0,0.478341,clean_72
clean,0.000000,0,0.471030,clean_73
clean,0.000000,0,0.451532,clean_74
clean,0.000000,0,0.473444,clean_75
clean,0.000000,0,0.485323,clean_76
clean,0.000000,0,0.477964,clean_77
clean,0.000000,0,0.465183,clean_78
clean,0.000000,0,0.476982,clean_79
clean,0.000000,0,0.440941,clean_80
clean,0.000000,0,0.443688,clean_81
clean,0.000000,0,0.466646,clean_82
clean,0.000000,0,0.480476,clean_83
clean,0.000000,0,0.462002,clean_84
clean,0.000000,0,0.470671,clean_85
clean,0.000000,0,0.481507,clean_86
clean,0.000000,0,0.467024,clean_87
clean,0.000000,0,0.471242,clean_88
clean,0.000000,0,0.464810,clean_89
clean,0.000000,0,0.464494,clean_90
clean,0.000000,0,0.456920,clean_91
clean,0.000000,0,0.472957,clean_92
clean,0.000000,0,0.472294,clean_93
