dataset,math_density,is_hallucination,confidence,sample_id
clean,0.000000,0,0.464409,clean_0
clean,0.000000,0,0.479586,clean_1
clean,0.000000,0,0.454576,clean_2
clean,0.000000,0,0.466859,clean_3
clean,0.000000,0,0.463592,clean_4
clean,0.000000,0,0.472660,clean_5
clean,0.000000,0,0.467162,clean_6
clean,0.000000,0,0.471480,clean_7
clean,0.000000,0,0.476624,clean_8
clean,0.000000,0,0.468641,clean_9
clean,0.000000,0,0.448943,clean_10
clean,0.000000,0,0.481680,clean_11
clean,0.000000,0,0.463939,clean_12
clean,0.000000,0,0.473360,clean_13
clean,0.000000,0,0.478165,clean_14
clean,0.000000,0,0.476945,clean_15
clean,0.000000,0,0.469337,clean_16
clean,0.000000,0,0.477487,clean_17
clean,0.000000,0,0.483303,clean_18
clean,0.000000,0,0.458412,clean_19
clean,0.000000,0,0.461287,clean_20
clean,0.000000,0,0.455574,clean_21
clean,0.000000,0,0.472933,clean_22
clean,0.000000,0,0.472433,clean_23
clean,0.000000,0,0.479352,clean_24
clean,0.000000,0,0.447593,clean_25
clean,0.000000,0,0.491325,clean_26
clean,0.000000,0,0.472138,clean_27
clean,0.000000,0,0.476782,clean_28
clean,0.000000,0,0.472932,clean_29
clean,0.000000,0,0.480403,clean_30
clean,0.000000,0,0.473674,clean_31
clean,0.000000,0,0.485075,clean_32
clean,0.000000,0,0.460250,clean_33
clean,0.000000,0,0.467466,clean_34
clean,0.000000,0,0.474038,clean_35
clean,0.000000,0,0.456329,clean_36
clean,0.000000,0,0.482710,clean_37
clean,0.000000,0,0.487908,clean_38
clean,0.000000,0,0.489191,clean_39
clean,0.000000,0,0.481266,clean_40
clean,0.000000,0,0.463955,clean_41
clean,0.000000,0,0.468076,clean_42
clean,0.000000,0,0.469928,clean_43
clean,0.000000,0,0.479229,clean_44
clean,0.000000,0,0.476577,clean_45
clean,0.000000,0,0.482196,clean_46
clean,0.000000,1,0.517947,clean_47
clean,0.000000,0,0.448158,clean_48
clean,0.000000,0,0.498897,clean_49
clean,0.000000,0,0.448301,clean_50
clean,0.000000,0,0.486163,clean_51
clean,0.000000,0,0.486056,clean_52
clean,0.000000,0,0.460580,clean_53
clean,0.000000,0,0.467334,clean_54
clean,0.000000,0,0.474067,clean_55
clean,0.000000,0,0.459329,clean_56
clean,0.000000,0,0.458018,clean_57
clean,0.000000,0,0.448585,clean_58
clean,0.000000,0,0.473428,clean_59
clean,0.000000,0,0.473557,clean_60
clean,0.000000,0,0.440357,clean_61
clean,0.000000,0,0.456638,clean_62
clean,0.000000,0,0.472624,clean_63
clean,0.000000,0,0.448601,clean_64
clean,0.000000,0,0.483559,clean_65
clean,0.000000,0,0.457654,clean_66
clean,0.000000,0,0.458289,clean_67
clean,0.000000,0,0.470327,clean_68
clean,0.000000,0,0.492218,clean_69
clean,0.000000,0,0.451609,clean_70
clean,0.000000,0,0.494590,clean_71
clean,0.000000,0,0.477607,clean_72
clean,0.000000,0,0.471550,clean_73
clean,0.000000,0,0.451977,clean_74
clean,0.000000,0,0.473605,clean_75
clean,0.000000,0,0.486214,clean_76
clean,0.000000,0,0.477714,clean_77
clean,0.000000,0,0.464479,clean_78
clean,0.000000,0,0.477173,clean_79
clean,0.000000,0,0.440649,clean_80
clean,0.000000,0,0.443318,clean_81
clean,0.000000,0,0.467123,clean_82
clean,0.000000,0,0.479513,clean_83
clean,0.000000,0,0.462499,clean_84
clean,0.000000,0,0.470328,clean_85
clean,0.000000,0,0.480774,clean_86
clean,0.000000,0,0.466678,clean_87
clean,0.000000,0,0.472166,clean_88
clean,0.000000,0,0.463679,clean_89
clean,0.000000,0,0.465157,clean_90
clean,0.000000,0,0.457673,clean_91
clean,0.000000,0,0.472540,clean_92
clean,0.000000,0,0.473371,clean_93
clean,0.000000,0,0.482245,clean_94
