dataset,math_density,is_hallucination,confidence,sample_id
clean,0.000000,0,0.227452,clean_0
clean,0.000000,0,0.202421,clean_1
clean,0.000000,0,0.220180,clean_2
clean,0.000000,0,0.204545,clean_3
clean,0.000000,0,0.206522,clean_4
clean,0.000000,0,0.213256,clean_5
clean,0.000000,0,0.205645,clean_6
clean,0.000000,0,0.197554,clean_7
clean,0.000000,0,0.201805,clean_8
clean,0.000000,0,0.236530,clean_9
clean,0.000000,0,0.343702,clean_10
clean,0.000000,0,0.202413,clean_11
clean,0.000000,0,0.228355,clean_12
clean,0.000000,0,0.190833,clean_13
clean,0.000000,0,0.180760,clean_14
clean,0.000000,0,0.221488,clean_15
clean,0.000000,0,0.225100,clean_16
clean,0.000000,0,0.215022,clean_17
clean,0.000000,0,0.230810,clean_18
clean,0.000000,0,0.238627,clean_19
clean,0.000000,0,0.224749,clean_20
clean,0.000000,0,0.270166,clean_21
clean,0.000000,0,0.267038,clean_22
clean,0.000000,0,0.228758,clean_23
clean,0.000000,0,0.176133,clean_24
clean,0.000000,0,0.289995,clean_25
clean,0.000000,0,0.173479,clean_26
clean,0.000000,0,0.181276,clean_27
clean,0.000000,0,0.202816,clean_28
clean,0.000000,0,0.221640,clean_29
clean,0.000000,0,0.201665,clean_30
clean,0.000000,0,0.209442,clean_31
clean,0.000000,0,0.196009,clean_32
clean,0.000000,0,0.322544,clean_33
clean,0.000000,0,0.204241,clean_34
clean,0.000000,0,0.248528,clean_35
clean,0.000000,0,0.315220,clean_36
clean,0.000000,0,0.183087,clean_37
clean,0.000000,0,0.184158,clean_38
clean,0.000000,0,0.174414,clean_39
clean,0.000000,0,0.183181,clean_40
clean,0.000000,0,0.222948,clean_41
clean,0.000000,0,0.256091,clean_42
clean,0.000000,0,0.198045,clean_43
clean,0.000000,0,0.221707,clean_44
clean,0.000000,0,0.200483,clean_45
clean,0.000000,0,0.187632,clean_46
clean,0.000000,0,0.168763,clean_47
clean,0.000000,0,0.391276,clean_48
clean,0.000000,0,0.179853,clean_49
clean,0.000000,0,0.332920,clean_50
clean,0.000000,0,0.190173,clean_51
clean,0.000000,0,0.239852,clean_52
clean,0.000000,0,0.208706,clean_53
clean,0.000000,0,0.269752,clean_54
clean,0.000000,0,0.227134,clean_55
clean,0.000000,0,0.220701,clean_56
clean,0.000000,0,0.228484,clean_57
clean,0.000000,0,0.189007,clean_58
clean,0.000000,0,0.249795,clean_59
clean,0.000000,0,0.231728,clean_60
clean,0.000000,0,0.359103,clean_61
clean,0.000000,0,0.296127,clean_62
clean,0.000000,0,0.210216,clean_63
clean,0.000000,0,0.383808,clean_64
clean,0.000000,0,0.194689,clean_65
clean,0.000000,0,0.219719,clean_66
clean,0.000000,0,0.270296,clean_67
clean,0.000000,0,0.226419,clean_68
clean,0.000000,0,0.212073,clean_69
clean,0.000000,0,0.270675,clean_70
clean,0.000000,0,0.192131,clean_71
clean,0.000000,0,0.214501,clean_72
clean,0.000000,0,0.236121,clean_73
clean,0.000000,0,0.289343,clean_74
clean,0.000000,0,0.203226,clean_75
clean,0.000000,0,0.170956,clean_76
clean,0.000000,0,0.175479,clean_77
clean,0.000000,0,0.200183,clean_78
clean,0.000000,0,0.166279,clean_79
clean,0.000000,0,0.254970,clean_80
clean,0.000000,0,0.237792,clean_81
clean,0.000000,0,0.222243,clean_82
clean,0.000000,0,0.176477,clean_83
clean,0.000000,0,0.197243,clean_84
clean,0.000000,0,0.209610,clean_85
clean,0.000000,0,0.203229,clean_86
clean,0.000000,0,0.196628,clean_87
clean,0.000000,0,0.227417,clean_88
clean,0.000000,0,0.202731,clean_89
clean,0.000000,0,0.294240,clean_90
clean,0.000000,0,0.220356,clean_91
clean,0.000000,0,0.223623,clean_92
clean,0.000000,0,0.215180,clean_93
clean,0.000000,0,0.187696,clean_94
