epoch,val_acc,val_f1,val_ece,code_acc,math_acc,real_acc,timestamp
0,0.7048,0.6831,0.1975,0.6786,0.0000,0.7396,1771223339
1,0.7048,0.6831,0.1770,0.6786,0.0000,0.7396,1771223350
2,0.7048,0.6831,0.1683,0.6786,0.0000,0.7396,1771223360
3,0.7761,0.7766,0.2370,0.8036,0.0000,0.7396,1771223371
4,0.8779,0.8873,0.3278,0.9732,0.0000,0.7515,1771223381
5,0.8906,0.9002,0.3168,0.9955,0.0000,0.7515,1771223392
6,0.8753,0.8884,0.2822,0.9688,0.0000,0.7515,1771223403
7,0.9033,0.9112,0.2851,0.9955,0.0000,0.7811,1771223414
8,0.9160,0.9220,0.2623,1.0000,0.0000,0.8047,1771223425
9,0.9415,0.9443,0.2898,1.0000,0.0000,0.8639,1771223435
10,0.9873,0.9873,0.3007,1.0000,0.0000,0.9704,1771223446
11,0.9873,0.9873,0.2813,1.0000,0.0000,0.9704,1771223456
12,0.9847,0.9848,0.2656,0.9955,0.0000,0.9704,1771223467
13,0.9924,0.9923,0.2648,0.9955,0.0000,0.9882,1771223477
14,0.9975,0.9974,0.2618,1.0000,0.0000,0.9941,1771223488
15,0.9975,0.9974,0.2497,1.0000,0.0000,0.9941,1771223499
16,0.9949,0.9949,0.2381,1.0000,0.0000,0.9882,1771223509
17,0.9975,0.9974,0.2347,1.0000,0.0000,0.9941,1771223520
18,0.9975,0.9974,0.2215,1.0000,0.0000,0.9941,1771223530
19,0.9975,0.9974,0.2178,1.0000,0.0000,0.9941,1771223541
20,0.9975,0.9974,0.2149,1.0000,0.0000,0.9941,1771223551
21,0.9975,0.9974,0.2129,1.0000,0.0000,0.9941,1771223562
22,0.9975,0.9974,0.2087,1.0000,0.0000,0.9941,1771223572
23,0.9975,0.9974,0.2058,1.0000,0.0000,0.9941,1771223583
24,1.0000,1.0000,0.2071,1.0000,0.0000,1.0000,1771223593
25,1.0000,1.0000,0.2050,1.0000,0.0000,1.0000,1771223604
26,0.9949,0.9949,0.1975,1.0000,0.0000,0.9882,1771223615
27,1.0000,1.0000,0.2007,1.0000,0.0000,1.0000,1771223625
28,1.0000,1.0000,0.2006,1.0000,0.0000,1.0000,1771223636
29,0.9975,0.9974,0.1968,1.0000,0.0000,0.9941,1771223647
30,0.9975,0.9974,0.1959,1.0000,0.0000,0.9941,1771223657
31,1.0000,1.0000,0.1971,1.0000,0.0000,1.0000,1771223667
32,1.0000,1.0000,0.1962,1.0000,0.0000,1.0000,1771223678
33,1.0000,1.0000,0.1954,1.0000,0.0000,1.0000,1771223689
34,1.0000,1.0000,0.1944,1.0000,0.0000,1.0000,1771223699
35,0.9975,0.9974,0.1910,1.0000,0.0000,0.9941,1771223710
36,1.0000,1.0000,0.1929,1.0000,0.0000,1.0000,1771223721
37,1.0000,1.0000,0.1925,1.0000,0.0000,1.0000,1771223731
38,1.0000,1.0000,0.1920,1.0000,0.0000,1.0000,1771223742
39,1.0000,1.0000,0.1916,1.0000,0.0000,1.0000,1771223752
40,1.0000,1.0000,0.1911,1.0000,0.0000,1.0000,1771223762
41,1.0000,1.0000,0.1905,1.0000,0.0000,1.0000,1771223773
42,1.0000,1.0000,0.1899,1.0000,0.0000,1.0000,1771223784
43,1.0000,1.0000,0.1892,1.0000,0.0000,1.0000,1771223795
44,1.0000,1.0000,0.1886,1.0000,0.0000,1.0000,1771223805
45,1.0000,1.0000,0.1883,1.0000,0.0000,1.0000,1771223816
46,1.0000,1.0000,0.1880,1.0000,0.0000,1.0000,1771223826
47,1.0000,1.0000,0.1880,1.0000,0.0000,1.0000,1771223837
48,1.0000,1.0000,0.1878,1.0000,0.0000,1.0000,1771223847
49,1.0000,1.0000,0.1877,1.0000,0.0000,1.0000,1771223858
50,1.0000,1.0000,0.1876,1.0000,0.0000,1.0000,1771223868
51,1.0000,1.0000,0.1874,1.0000,0.0000,1.0000,1771223879
52,1.0000,1.0000,0.1874,1.0000,0.0000,1.0000,1771223889
53,1.0000,1.0000,0.1872,1.0000,0.0000,1.0000,1771223900
54,1.0000,1.0000,0.1872,1.0000,0.0000,1.0000,1771223911
