epoch,val_acc,val_f1,val_ece,code_acc,math_acc,real_acc,timestamp
0,0.6667,0.5826,0.1597,0.6170,0.6167,0.7850,1771254363
1,0.6815,0.6968,0.1641,0.7447,0.5333,0.7850,1771254383
2,0.7156,0.6643,0.1888,0.7574,0.6167,0.7850,1771254402
3,0.7837,0.7638,0.2487,0.9532,0.6167,0.7850,1771254421
4,0.7881,0.7690,0.2404,0.9660,0.6167,0.7850,1771254440
5,0.7956,0.7781,0.2312,0.9915,0.6167,0.7800,1771254459
6,0.7956,0.7781,0.2141,0.9915,0.6167,0.7800,1771254478
7,0.8222,0.8026,0.2281,1.0000,0.6167,0.8600,1771254496
8,0.8815,0.8689,0.2722,1.0000,0.7042,0.9550,1771254516
9,0.8904,0.8791,0.2613,1.0000,0.7167,0.9700,1771254535
10,0.8933,0.8820,0.2368,1.0000,0.7167,0.9800,1771254555
11,0.8963,0.8852,0.2203,1.0000,0.7208,0.9850,1771254573
12,0.9022,0.8925,0.2216,1.0000,0.7333,0.9900,1771254592
13,0.8948,0.8830,0.2044,1.0000,0.7125,0.9900,1771254612
14,0.8993,0.8885,0.2029,1.0000,0.7250,0.9900,1771254633
15,0.9007,0.8911,0.1956,1.0000,0.7292,0.9900,1771254652
16,0.9022,0.8922,0.1894,1.0000,0.7333,0.9900,1771254672
17,0.8993,0.8885,0.1880,1.0000,0.7250,0.9900,1771254692
18,0.9067,0.8986,0.1902,1.0000,0.7458,0.9900,1771254711
19,0.9067,0.8986,0.1875,1.0000,0.7458,0.9900,1771254731
20,0.9081,0.9000,0.1876,1.0000,0.7500,0.9900,1771254751
21,0.9081,0.9010,0.1866,1.0000,0.7500,0.9900,1771254771
22,0.8963,0.8933,0.1757,1.0000,0.7125,0.9950,1771254790
23,0.8859,0.8849,0.1775,1.0000,0.6833,0.9950,1771254809
24,0.9067,0.9002,0.1872,1.0000,0.7417,0.9950,1771254829
25,0.8993,0.8885,0.1758,1.0000,0.7250,0.9900,1771254848
26,0.8993,0.8917,0.1719,1.0000,0.7250,0.9900,1771254867
27,0.9111,0.9045,0.1837,1.0000,0.7542,0.9950,1771254887
28,0.9067,0.8995,0.1749,1.0000,0.7417,0.9950,1771254905
29,0.9081,0.9013,0.1759,1.0000,0.7458,0.9950,1771254926
30,0.9081,0.9016,0.1758,1.0000,0.7500,0.9900,1771254949
31,0.9081,0.9010,0.1743,1.0000,0.7500,0.9900,1771254969
32,0.9081,0.9006,0.1729,1.0000,0.7458,0.9950,1771254988
33,0.8933,0.8912,0.1661,1.0000,0.7042,0.9950,1771255008
34,0.8889,0.8879,0.1669,1.0000,0.6917,0.9950,1771255027
35,0.8874,0.8848,0.1647,1.0000,0.6917,0.9900,1771255047
36,0.9067,0.9029,0.1715,1.0000,0.7417,0.9950,1771255066
37,0.9067,0.8998,0.1700,1.0000,0.7458,0.9900,1771255084
38,0.9067,0.8995,0.1689,1.0000,0.7417,0.9950,1771255103
39,0.8933,0.8912,0.1628,1.0000,0.7042,0.9950,1771255122
40,0.9081,0.9019,0.1706,1.0000,0.7458,0.9950,1771255140
41,0.9126,0.9071,0.1748,1.0000,0.7583,0.9950,1771255159
42,0.9081,0.9016,0.1692,1.0000,0.7458,0.9950,1771255179
43,0.9081,0.9034,0.1700,1.0000,0.7458,0.9950,1771255198
44,0.9081,0.9000,0.1673,1.0000,0.7458,0.9950,1771255216
45,0.9096,0.9045,0.1710,1.0000,0.7500,0.9950,1771255236
46,0.9096,0.9039,0.1707,1.0000,0.7500,0.9950,1771255257
47,0.9096,0.9045,0.1706,1.0000,0.7500,0.9950,1771255277
48,0.9096,0.9045,0.1702,1.0000,0.7500,0.9950,1771255296
49,0.9126,0.9077,0.1729,1.0000,0.7583,0.9950,1771255315
50,0.8993,0.8963,0.1612,1.0000,0.7208,0.9950,1771255334
51,0.9052,0.9003,0.1656,1.0000,0.7375,0.9950,1771255353
52,0.9096,0.9048,0.1696,1.0000,0.7500,0.9950,1771255372
53,0.9126,0.9077,0.1720,1.0000,0.7583,0.9950,1771255391
54,0.9037,0.9008,0.1644,1.0000,0.7333,0.9950,1771255410
55,0.9126,0.9074,0.1717,1.0000,0.7583,0.9950,1771255429
56,0.8993,0.8957,0.1602,1.0000,0.7208,0.9950,1771255449
57,0.9052,0.9006,0.1648,1.0000,0.7375,0.9950,1771255468
58,0.9052,0.9006,0.1648,1.0000,0.7375,0.9950,1771255487
59,0.9037,0.8992,0.1632,1.0000,0.7333,0.9950,1771255506
