epoch,val_acc,val_f1,val_ece,code_acc,math_acc,real_acc,timestamp
0,0.6194,0.5985,0.1029,0.6450,0.5497,0.7596,1771050888
1,0.6621,0.6277,0.1386,0.7792,0.5629,0.7596,1771050947
2,0.7347,0.7188,0.1945,0.9524,0.6137,0.7596,1771051007
3,0.7636,0.7441,0.2117,0.9957,0.6380,0.7814,1771051062
4,0.7578,0.7697,0.1861,0.9957,0.6137,0.8142,1771051112
5,0.7901,0.7764,0.1942,0.9913,0.6534,0.8743,1771051157
6,0.8143,0.7856,0.2020,0.9870,0.6645,0.9672,1771051209
7,0.8247,0.8160,0.1992,0.9957,0.6777,0.9727,1771051254
8,0.8281,0.8289,0.1906,1.0000,0.6799,0.9781,1771051304
9,0.8224,0.7963,0.1744,0.9870,0.6799,0.9672,1771051359
10,0.8235,0.8145,0.1724,1.0000,0.6711,0.9781,1771051399
11,0.8339,0.8273,0.1775,1.0000,0.6865,0.9891,1771051445
12,0.8304,0.8269,0.1818,0.9957,0.6821,0.9891,1771051494
13,0.8212,0.8287,0.1853,1.0000,0.6623,0.9891,1771051546
14,0.8385,0.8153,0.1734,1.0000,0.6976,0.9836,1771051596
15,0.8304,0.8174,0.1638,1.0000,0.6799,0.9891,1771051640
16,0.8374,0.8299,0.1643,1.0000,0.6932,0.9891,1771051684
17,0.8235,0.8181,0.1756,1.0000,0.6667,0.9891,1771051735
18,0.8293,0.8283,0.1733,1.0000,0.6777,0.9891,1771051787
19,0.8224,0.8192,0.1717,1.0000,0.6645,0.9891,1771051833
20,0.8293,0.8225,0.1666,1.0000,0.6777,0.9891,1771051878
21,0.8374,0.8270,0.1565,1.0000,0.6932,0.9891,1771051924
22,0.8201,0.8207,0.1787,1.0000,0.6600,0.9891,1771051974
23,0.8304,0.8244,0.1685,1.0000,0.6799,0.9891,1771052019
24,0.8304,0.8256,0.1699,1.0000,0.6799,0.9891,1771052066
25,0.8293,0.8318,0.1682,1.0000,0.6777,0.9891,1771052113
26,0.8466,0.8433,0.1544,1.0000,0.7108,0.9891,1771052160
27,0.8224,0.8175,0.1655,1.0000,0.6645,0.9891,1771052212
28,0.8328,0.8263,0.1583,1.0000,0.6843,0.9891,1771052255
29,0.8374,0.8295,0.1587,1.0000,0.6932,0.9891,1771052299
30,0.8339,0.8294,0.1601,1.0000,0.6865,0.9891,1771052348
31,0.8304,0.8240,0.1613,1.0000,0.6799,0.9891,1771052402
32,0.8247,0.8228,0.1682,1.0000,0.6689,0.9891,1771052450
33,0.8351,0.8267,0.1604,1.0000,0.6887,0.9891,1771052498
34,0.8293,0.8242,0.1641,1.0000,0.6777,0.9891,1771052547
35,0.8316,0.8310,0.1577,1.0000,0.6821,0.9891,1771052600
36,0.8385,0.8325,0.1540,1.0000,0.6954,0.9891,1771052645
37,0.8328,0.8288,0.1556,1.0000,0.6843,0.9891,1771052688
38,0.8316,0.8266,0.1597,1.0000,0.6821,0.9891,1771052733
39,0.8339,0.8286,0.1562,1.0000,0.6865,0.9891,1771052776
40,0.8328,0.8272,0.1590,1.0000,0.6843,0.9891,1771052822
41,0.8351,0.8296,0.1565,1.0000,0.6887,0.9891,1771052866
42,0.8328,0.8263,0.1590,1.0000,0.6843,0.9891,1771052911
43,0.8281,0.8228,0.1623,1.0000,0.6755,0.9891,1771052956
44,0.8351,0.8287,0.1551,1.0000,0.6887,0.9891,1771052998
45,0.8351,0.8304,0.1587,1.0000,0.6887,0.9891,1771053043
46,0.8316,0.8294,0.1606,1.0000,0.6821,0.9891,1771053081
47,0.8339,0.8298,0.1559,1.0000,0.6865,0.9891,1771053124
48,0.8351,0.8300,0.1571,1.0000,0.6887,0.9891,1771053170
49,0.8339,0.8269,0.1546,1.0000,0.6865,0.9891,1771053217
50,0.8304,0.8260,0.1601,1.0000,0.6799,0.9891,1771053264
51,0.8293,0.8263,0.1598,1.0000,0.6777,0.9891,1771053312
52,0.8339,0.8290,0.1552,1.0000,0.6865,0.9891,1771053359
53,0.8408,0.8353,0.1516,1.0000,0.6998,0.9891,1771053408
54,0.8316,0.8294,0.1594,1.0000,0.6821,0.9891,1771053452
55,0.8351,0.8300,0.1556,1.0000,0.6887,0.9891,1771053496
56,0.8328,0.8296,0.1583,1.0000,0.6843,0.9891,1771053544
