label,folder,model,math_ratio,best_f1,best_epoch,math_acc_at_best_epoch,code_acc_at_best_epoch,real_acc_at_best_epoch,val_ece_at_best_epoch,n_epochs
Qwen2.5-1.5B_math_10_seed2,D:\guardian_project\experiments\Qwen2.5-1.5B\math_10_seed2,Qwen2.5-1.5B,0.1616415410385259,0.9336283185840708,8,0.6053,1.0,1.0,0.3136,39
Qwen2.5-1.5B_math_10_seed3,D:\guardian_project\experiments\Qwen2.5-1.5B\math_10_seed3,Qwen2.5-1.5B,0.1616415410385259,0.9336283185840708,8,0.6053,1.0,1.0,0.3136,39
Qwen2.5-1.5B_math_25_seed1,D:\guardian_project\experiments\Qwen2.5-1.5B\math_25_seed1,Qwen2.5-1.5B,0.2175076452599388,0.91869918699187,33,0.6637,0.9956,0.9944,0.2147,60
Qwen2.5-1.5B_math_25_seed2,D:\guardian_project\experiments\Qwen2.5-1.5B\math_25_seed2,Qwen2.5-1.5B,0.2175076452599388,0.91869918699187,33,0.6637,0.9956,0.9944,0.2147,60
Qwen2.5-1.5B_math_25_seed3,D:\guardian_project\experiments\Qwen2.5-1.5B\math_25_seed3,Qwen2.5-1.5B,0.2175076452599388,0.91869918699187,33,0.6637,0.9956,0.9944,0.2147,60
Qwen2.5-1.5B_math_50_seed1,D:\guardian_project\experiments\Qwen2.5-1.5B\math_50_seed1,Qwen2.5-1.5B,0.2929765886287625,0.90625,58,0.6914,1.0,1.0,0.1685,60
Qwen2.5-1.5B_math_50_seed2,D:\guardian_project\experiments\Qwen2.5-1.5B\math_50_seed2,Qwen2.5-1.5B,0.2929765886287625,0.90625,58,0.6914,1.0,1.0,0.1685,60
Qwen2.5-1.5B_math_50_seed3,D:\guardian_project\experiments\Qwen2.5-1.5B\math_50_seed3,Qwen2.5-1.5B,0.2929765886287625,0.90625,58,0.6914,1.0,1.0,0.1685,60
Qwen2.5-Coder-1.5B_math_10_seed2,D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_10_seed2,Qwen2.5-Coder-1.5B,0.3564312921183709,0.9093799682034976,17,0.7654,1.0,1.0,0.1989,48
Qwen2.5-Coder-1.5B_math_10_seed3,D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_10_seed3,Qwen2.5-Coder-1.5B,0.3531478770131772,0.9044006069802732,43,0.7375,1.0,1.0,0.1738,60
Qwen2.5-Coder-1.5B_math_25_seed0,D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_25_seed0,Qwen2.5-Coder-1.5B,0.3521147161066049,0.9194029850746268,49,0.7769,1.0,1.0,0.1802,60
Qwen2.5-Coder-1.5B_math_25_seed1,D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_25_seed1,Qwen2.5-Coder-1.5B,0.3555818074424099,0.9076682316118936,49,0.7583,1.0,0.995,0.1729,60
Qwen2.5-Coder-1.5B_math_25_seed2,D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_25_seed2,Qwen2.5-Coder-1.5B,0.3564312921183709,0.9093799682034976,17,0.7654,1.0,1.0,0.1989,48
Qwen2.5-Coder-1.5B_math_25_seed3,D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_25_seed3,Qwen2.5-Coder-1.5B,0.3531478770131772,0.9044006069802732,43,0.7375,1.0,1.0,0.1738,60
Qwen2.5-Coder-1.5B_math_50_seed0,D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_50_seed0,Qwen2.5-Coder-1.5B,0.3521147161066049,0.9194029850746268,49,0.7769,1.0,1.0,0.1802,60
Qwen2.5-Coder-1.5B_math_50_seed1,D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_50_seed1,Qwen2.5-Coder-1.5B,0.3555818074424099,0.9076682316118936,49,0.7583,1.0,0.995,0.1729,60
Qwen2.5-Coder-1.5B_math_50_seed2,D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_50_seed2,Qwen2.5-Coder-1.5B,0.3564312921183709,0.9093799682034976,17,0.7654,1.0,1.0,0.1989,48
Qwen2.5-Coder-1.5B_math_50_seed3,D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_50_seed3,Qwen2.5-Coder-1.5B,0.3531478770131772,0.9044006069802732,43,0.7375,1.0,1.0,0.1738,60
Qwen2.5-Math-1.5B_math_10_seed2,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_10_seed2,Qwen2.5-Math-1.5B,0.3564312921183709,0.9093799682034976,17,0.7654,1.0,1.0,0.1989,48
Qwen2.5-Math-1.5B_math_10_seed3,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_10_seed3,Qwen2.5-Math-1.5B,0.3531478770131772,0.9044006069802732,43,0.7375,1.0,1.0,0.1738,60
Qwen2.5-Math-1.5B_math_25_seed0,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_25_seed0,Qwen2.5-Math-1.5B,0.3521147161066049,0.9194029850746268,49,0.7769,1.0,1.0,0.1802,60
Qwen2.5-Math-1.5B_math_25_seed1,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_25_seed1,Qwen2.5-Math-1.5B,0.3555818074424099,0.9076682316118936,49,0.7583,1.0,0.995,0.1729,60
Qwen2.5-Math-1.5B_math_25_seed2,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_25_seed2,Qwen2.5-Math-1.5B,0.3564312921183709,0.9093799682034976,17,0.7654,1.0,1.0,0.1989,48
Qwen2.5-Math-1.5B_math_25_seed3,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_25_seed3,Qwen2.5-Math-1.5B,0.3531478770131772,0.9044006069802732,43,0.7375,1.0,1.0,0.1738,60
Qwen2.5-Math-1.5B_math_50_seed0,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_50_seed0,Qwen2.5-Math-1.5B,0.3521147161066049,0.9194029850746268,49,0.7769,1.0,1.0,0.1802,60
Qwen2.5-Math-1.5B_math_50_seed1,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_50_seed1,Qwen2.5-Math-1.5B,0.3555818074424099,0.9076682316118936,49,0.7583,1.0,0.995,0.1729,60
Qwen2.5-Math-1.5B_math_50_seed2,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_50_seed2,Qwen2.5-Math-1.5B,0.3564312921183709,0.9093799682034976,17,0.7654,1.0,1.0,0.1989,48
Qwen2.5-Math-1.5B_math_50_seed3,D:\guardian_project\experiments\Qwen2.5-Math-1.5B\math_50_seed3,Qwen2.5-Math-1.5B,0.3531478770131772,0.9044006069802732,43,0.7375,1.0,1.0,0.1738,60
math_25,D:\guardian_project\experiments\math_25,experiments,0.5508905852417303,0.862876254180602,51,0.763,1.0,1.0,0.1536,60
math_50,D:\guardian_project\experiments\math_50,experiments,0.5761296660117878,0.839481555333998,35,0.7253,1.0,1.0,0.1604,60
test,D:\guardian_project\experiments\test,experiments,0.1218166383701188,0.9698275862068966,58,0.7719,1.0,0.9946,0.1858,60
