run_id,seed,arm,model,best_f1
1772052736_0,10073,Control,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_1,10022,Control,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_2,10032,Treatment,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_3,10016,Treatment,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_4,10393,Control,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_5,10072,Treatment,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_6,10278,Control,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_7,10388,Control,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_8,10160,Treatment,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_9,10293,Treatment,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_10,10179,Treatment,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_11,10134,Treatment,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_12,10144,Treatment,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_13,10211,Control,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_14,10327,Control,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_15,10329,Control,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_16,10394,Treatment,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_17,10149,Control,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_18,10264,Control,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_19,10193,Control,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_20,10189,Treatment,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_21,10174,Control,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_22,10228,Control,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_23,10352,Treatment,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_24,10013,Treatment,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_25,10295,Treatment,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_26,10195,Control,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_27,10197,Treatment,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_28,10343,Control,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_29,10241,Treatment,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_30,10368,Treatment,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_31,10247,Control,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_32,10281,Treatment,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_33,10190,Treatment,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_34,10065,Control,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_35,10267,Control,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_36,10389,Treatment,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_37,10203,Treatment,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_38,10178,Control,Qwen2.5-Math-1.5B,0.8859934853420195
1772052736_39,10164,Control,Qwen2.5-Math-1.5B,0.8859934853420195
