run_id,arm,seed,subset,outdir,best_f1
1772052736_0,Control,10073,experiments\plots\extra_analysis\control_examples.csv,runs\run_1772052736_0,0.8859934853420195
1772052736_1,Control,10022,experiments\plots\extra_analysis\control_examples.csv,runs\run_1772052736_1,0.8859934853420195
1772052736_10,Treatment,10179,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1772052736_10,0.8859934853420195
1772052736_11,Treatment,10134,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1772052736_11,0.8859934853420195
1772052736_12,Treatment,10144,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1772052736_12,0.8859934853420195
1772052736_13,Control,10211,experiments\plots\extra_analysis\control_examples.csv,runs\run_1772052736_13,0.8859934853420195
1772052736_14,Control,10327,experiments\plots\extra_analysis\control_examples.csv,runs\run_1772052736_14,0.8859934853420195
1772052736_15,Control,10329,experiments\plots\extra_analysis\control_examples.csv,runs\run_1772052736_15,0.8859934853420195
1772052736_16,Treatment,10394,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1772052736_16,0.8859934853420195
1772052736_17,Control,10149,experiments\plots\extra_analysis\control_examples.csv,runs\run_1772052736_17,0.8859934853420195
1772052736_18,Control,10264,experiments\plots\extra_analysis\control_examples.csv,runs\run_1772052736_18,0.8859934853420195
1772052736_19,Control,10193,experiments\plots\extra_analysis\control_examples.csv,runs\run_1772052736_19,0.8859934853420195
1772052736_2,Treatment,10032,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1772052736_2,0.8859934853420195
1772052736_20,Treatment,10189,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1772052736_20,0.8859934853420195
1772052736_21,Control,10174,experiments\plots\extra_analysis\control_examples.csv,runs\run_1772052736_21,0.8859934853420195
1772052736_22,Control,10228,experiments\plots\extra_analysis\control_examples.csv,runs\run_1772052736_22,0.8859934853420195
1772052736_23,Treatment,10352,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1772052736_23,0.8859934853420195
1772052736_24,Treatment,10013,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1772052736_24,0.8859934853420195
1772052736_25,Treatment,10295,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1772052736_25,0.8859934853420195
1772052736_26,Control,10195,experiments\plots\extra_analysis\control_examples.csv,runs\run_1772052736_26,0.8859934853420195
1772052736_27,Treatment,10197,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1772052736_27,0.8859934853420195
1772052736_28,Control,10343,experiments\plots\extra_analysis\control_examples.csv,runs\run_1772052736_28,0.8859934853420195
1772052736_29,Treatment,10241,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1772052736_29,0.8859934853420195
1772052736_3,Treatment,10016,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1772052736_3,0.8859934853420195
1772052736_30,Treatment,10368,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1772052736_30,0.8859934853420195
1772052736_31,Control,10247,experiments\plots\extra_analysis\control_examples.csv,runs\run_1772052736_31,0.8859934853420195
1772052736_32,Treatment,10281,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1772052736_32,0.8859934853420195
1772052736_33,Treatment,10190,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1772052736_33,0.8859934853420195
1772052736_34,Control,10065,experiments\plots\extra_analysis\control_examples.csv,runs\run_1772052736_34,0.8859934853420195
1772052736_35,Control,10267,experiments\plots\extra_analysis\control_examples.csv,runs\run_1772052736_35,0.8859934853420195
1772052736_36,Treatment,10389,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1772052736_36,0.8859934853420195
1772052736_37,Treatment,10203,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1772052736_37,0.8859934853420195
1772052736_38,Control,10178,experiments\plots\extra_analysis\control_examples.csv,runs\run_1772052736_38,0.8859934853420195
1772052736_39,Control,10164,experiments\plots\extra_analysis\control_examples.csv,runs\run_1772052736_39,0.8859934853420195
1772052736_4,Control,10393,experiments\plots\extra_analysis\control_examples.csv,runs\run_1772052736_4,0.8859934853420195
1772052736_5,Treatment,10072,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1772052736_5,0.8859934853420195
1772052736_6,Control,10278,experiments\plots\extra_analysis\control_examples.csv,runs\run_1772052736_6,0.8859934853420195
1772052736_7,Control,10388,experiments\plots\extra_analysis\control_examples.csv,runs\run_1772052736_7,0.8859934853420195
1772052736_8,Treatment,10160,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1772052736_8,0.8859934853420195
1772052736_9,Treatment,10293,experiments\plots\extra_analysis\treatment_examples.csv,runs\run_1772052736_9,0.8859934853420195
run_1771910203_0,Unknown,,,runs/run_1771910203_0,0.8859934853420195
run_1771910203_1,Unknown,,,runs/run_1771910203_1,0.8859934853420195
run_1771910203_2,Unknown,,,runs/run_1771910203_2,0.8859934853420195
run_1772052736_0,Unknown,,,runs/run_1772052736_0,0.8859934853420195
run_1772052736_1,Unknown,,,runs/run_1772052736_1,0.8859934853420195
run_1772052736_10,Unknown,,,runs/run_1772052736_10,0.8859934853420195
run_1772052736_11,Unknown,,,runs/run_1772052736_11,0.8859934853420195
run_1772052736_12,Unknown,,,runs/run_1772052736_12,0.8859934853420195
run_1772052736_13,Unknown,,,runs/run_1772052736_13,0.8859934853420195
run_1772052736_14,Unknown,,,runs/run_1772052736_14,0.8859934853420195
run_1772052736_15,Unknown,,,runs/run_1772052736_15,0.8859934853420195
run_1772052736_16,Unknown,,,runs/run_1772052736_16,0.8859934853420195
run_1772052736_17,Unknown,,,runs/run_1772052736_17,0.8859934853420195
run_1772052736_18,Unknown,,,runs/run_1772052736_18,0.8859934853420195
run_1772052736_19,Unknown,,,runs/run_1772052736_19,0.8859934853420195
run_1772052736_2,Unknown,,,runs/run_1772052736_2,0.8859934853420195
run_1772052736_20,Unknown,,,runs/run_1772052736_20,0.8859934853420195
run_1772052736_21,Unknown,,,runs/run_1772052736_21,0.8859934853420195
run_1772052736_22,Unknown,,,runs/run_1772052736_22,0.8859934853420195
run_1772052736_23,Unknown,,,runs/run_1772052736_23,0.8859934853420195
run_1772052736_24,Unknown,,,runs/run_1772052736_24,0.8859934853420195
run_1772052736_25,Unknown,,,runs/run_1772052736_25,0.8859934853420195
run_1772052736_26,Unknown,,,runs/run_1772052736_26,0.8859934853420195
run_1772052736_27,Unknown,,,runs/run_1772052736_27,0.8859934853420195
run_1772052736_28,Unknown,,,runs/run_1772052736_28,0.8859934853420195
run_1772052736_29,Unknown,,,runs/run_1772052736_29,0.8859934853420195
run_1772052736_3,Unknown,,,runs/run_1772052736_3,0.8859934853420195
run_1772052736_30,Unknown,,,runs/run_1772052736_30,0.8859934853420195
run_1772052736_31,Unknown,,,runs/run_1772052736_31,0.8859934853420195
run_1772052736_32,Unknown,,,runs/run_1772052736_32,0.8859934853420195
run_1772052736_33,Unknown,,,runs/run_1772052736_33,0.8859934853420195
run_1772052736_34,Unknown,,,runs/run_1772052736_34,0.8859934853420195
run_1772052736_35,Unknown,,,runs/run_1772052736_35,0.8859934853420195
run_1772052736_36,Unknown,,,runs/run_1772052736_36,0.8859934853420195
run_1772052736_37,Unknown,,,runs/run_1772052736_37,0.8859934853420195
run_1772052736_38,Unknown,,,runs/run_1772052736_38,0.8859934853420195
run_1772052736_39,Unknown,,,runs/run_1772052736_39,0.8859934853420195
run_1772052736_4,Unknown,,,runs/run_1772052736_4,0.8859934853420195
run_1772052736_5,Unknown,,,runs/run_1772052736_5,0.8859934853420195
run_1772052736_6,Unknown,,,runs/run_1772052736_6,0.8859934853420195
run_1772052736_7,Unknown,,,runs/run_1772052736_7,0.8859934853420195
run_1772052736_8,Unknown,,,runs/run_1772052736_8,0.8859934853420195
run_1772052736_9,Unknown,,,runs/run_1772052736_9,0.8859934853420195
