label,folder,model,math_ratio,best_f1,best_epoch,math_acc_at_best_epoch,code_acc_at_best_epoch,real_acc_at_best_epoch,val_ece_at_best_epoch,n_epochs
Qwen2.5-1.5B_math_0_seed0 [ ( ) : ],D:\guardian_project\experiments\Qwen2.5-1.5B\math_0_seed0,Qwen2.5-1.5B,0.0,1.0,24,0.0,1.0,1.0,0.2071,55
Qwen2.5-1.5B_math_0_seed1 [ ( ) : ],D:\guardian_project\experiments\Qwen2.5-1.5B\math_0_seed1,Qwen2.5-1.5B,0.1220982142857142,0.9282296650717704,44,0.5926,0.9777,0.9822,0.3344,60
Qwen2.5-1.5B_math_0_seed2 [ ( ) : ],D:\guardian_project\experiments\Qwen2.5-1.5B\math_0_seed2,Qwen2.5-1.5B,0.1220982142857142,0.9282296650717704,44,0.5926,0.9777,0.9822,0.3344,60
Qwen2.5-1.5B_math_0_seed3 [ ( ) : ],D:\guardian_project\experiments\Qwen2.5-1.5B\math_0_seed3,Qwen2.5-1.5B,0.1220982142857142,0.9282296650717704,44,0.5926,0.9777,0.9822,0.3344,60
Qwen2.5-1.5B_math_100_seed1 [ ( ) : ],D:\guardian_project\experiments\Qwen2.5-1.5B\math_100_seed1,Qwen2.5-1.5B,0.4067614703514891,0.8689839572192514,15,0.6755,1.0,1.0,0.2104,46
Qwen2.5-1.5B_math_100_seed2 [ ( ) : ],D:\guardian_project\experiments\Qwen2.5-1.5B\math_100_seed2,Qwen2.5-1.5B,0.4067614703514891,0.8689839572192514,15,0.6755,1.0,1.0,0.2104,46
Qwen2.5-1.5B_math_100_seed3 [ ( ) : ],D:\guardian_project\experiments\Qwen2.5-1.5B\math_100_seed3,Qwen2.5-1.5B,0.4067614703514891,0.8689839572192514,15,0.6755,1.0,1.0,0.2104,46
Qwen2.5-1.5B_math_10_seed1 [ ( ) : ],D:\guardian_project\experiments\Qwen2.5-1.5B\math_10_seed1,Qwen2.5-1.5B,0.1616415410385259,0.9336283185840708,8,0.6053,1.0,1.0,0.3136,39
Qwen2.5-Coder-1.5B_math_0_seed0 [ ( ) : ],D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_0_seed0,Qwen2.5-Coder-1.5B,0.0,1.0,24,0.0,1.0,1.0,0.2071,55
Qwen2.5-Coder-1.5B_math_0_seed1 [ ( ) : ],D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_0_seed1,Qwen2.5-Coder-1.5B,0.0,0.9973614775725592,39,0.0,1.0,0.9939,0.2979,60
Qwen2.5-Coder-1.5B_math_0_seed2 [ ( ) : ],D:\guardian_project\experiments\Qwen2.5-Coder-1.5B\math_0_seed2,Qwen2.5-Coder-1.5B,0.0,0.9973890339425588,15,0.0,1.0,0.9939,0.3292,46
