dropped_idx,dropped_model,dropped_math_ratio,slope,r_squared,n_groups
0,Qwen2.5-1.5B,0.1616415410385259,-0.001544763681154665,0.2905179161471694,11
1,Qwen2.5-1.5B,0.2175076452599388,-0.0017180051379977086,0.47730955275058584,11
2,Qwen2.5-1.5B,0.2929765886287625,-0.0015698491591561396,0.4965227134272604,11
3,Qwen2.5-1.5B,0.4067614703514891,-0.0009780083415028736,0.5362848494485501,11
4,Qwen2.5-Coder-1.5B,0.3521147161066049,-0.0015921866458523254,0.5377180415152546,11
5,Qwen2.5-Coder-1.5B,0.3531478770131772,-0.001511244760456193,0.46649617935705534,11
6,Qwen2.5-Coder-1.5B,0.3555818074424099,-0.0015334449213085036,0.47483765221674845,11
7,Qwen2.5-Coder-1.5B,0.3564312921183709,-0.0015457463031097254,0.4815646463107488,11
8,Qwen2.5-Math-1.5B,0.3521147161066049,-0.0015921866458523184,0.5377180415152552,11
9,Qwen2.5-Math-1.5B,0.3531478770131772,-0.0015112447604561895,0.46649617935705445,11
10,Qwen2.5-Math-1.5B,0.3555818074424099,-0.0015334449213084654,0.4748376522167481,11
11,Qwen2.5-Math-1.5B,0.3564312921183709,-0.001545746303109708,0.48156464631074536,11
