model,math_ratio,best_f1_mean,best_f1_std,n_seeds,math_pct
Qwen2.5-1.5B,0.0,1.0,,1,0.0
Qwen2.5-1.5B,0.1220982142857142,0.9282296650717704,0.0,3,12.20982142857142
Qwen2.5-1.5B,0.1616415410385259,0.9336283185840708,0.0,3,16.16415410385259
Qwen2.5-1.5B,0.2175076452599388,0.91869918699187,0.0,3,21.75076452599388
Qwen2.5-1.5B,0.2929765886287625,0.90625,0.0,3,29.297658862876254
Qwen2.5-1.5B,0.4067614703514891,0.8689839572192514,0.0,3,40.67614703514891
Qwen2.5-Coder-1.5B,0.0,0.9980382772294288,0.0013079270738975432,4,0.0
Qwen2.5-Coder-1.5B,0.3521147161066049,0.9194029850746268,0.0,4,35.21147161066049
Qwen2.5-Coder-1.5B,0.3531478770131772,0.9044006069802732,0.0,4,35.31478770131772
Qwen2.5-Coder-1.5B,0.3555818074424099,0.9076682316118936,0.0,4,35.55818074424099
Qwen2.5-Coder-1.5B,0.3564312921183709,0.9093799682034976,0.0,4,35.643129211837085
Qwen2.5-Math-1.5B,0.0,0.9980382772294288,0.0013079270738975432,4,0.0
Qwen2.5-Math-1.5B,0.3521147161066049,0.9194029850746268,0.0,4,35.21147161066049
Qwen2.5-Math-1.5B,0.3531478770131772,0.9044006069802732,0.0,4,35.31478770131772
Qwen2.5-Math-1.5B,0.3555818074424099,0.9076682316118936,0.0,4,35.55818074424099
experiments,0.1218166383701188,0.9698275862068966,,1,12.18166383701188
experiments,0.1245682210708117,0.9547511312217196,,1,12.45682210708117
experiments,0.521889400921659,0.8433451118963486,,1,52.1889400921659
experiments,0.5329768270944741,0.8574739281575898,,1,53.297682709447415
experiments,0.5508905852417303,0.862876254180602,,1,55.089058524173026
experiments,0.5761296660117878,0.839481555333998,,1,57.61296660117878
experiments,0.6205594645615239,0.8313856427378965,,1,62.05594645615239
