dataset,math_density,is_hallucination,confidence,sample_id
clean,0.000000,0,0.464250,clean_0
clean,0.000000,0,0.479463,clean_1
clean,0.000000,0,0.453979,clean_2
clean,0.000000,0,0.466462,clean_3
clean,0.000000,0,0.463514,clean_4
clean,0.000000,0,0.472413,clean_5
clean,0.000000,0,0.467611,clean_6
clean,0.000000,0,0.471293,clean_7
clean,0.000000,0,0.477527,clean_8
clean,0.000000,0,0.469398,clean_9
clean,0.000000,0,0.448897,clean_10
clean,0.000000,0,0.481552,clean_11
clean,0.000000,0,0.465064,clean_12
clean,0.000000,0,0.473055,clean_13
clean,0.000000,0,0.477913,clean_14
clean,0.000000,0,0.477108,clean_15
clean,0.000000,0,0.469041,clean_16
clean,0.000000,0,0.476642,clean_17
clean,0.000000,0,0.482890,clean_18
clean,0.000000,0,0.457105,clean_19
clean,0.000000,0,0.461078,clean_20
clean,0.000000,0,0.455940,clean_21
clean,0.000000,0,0.473560,clean_22
clean,0.000000,0,0.472818,clean_23
clean,0.000000,0,0.479559,clean_24
clean,0.000000,0,0.447649,clean_25
clean,0.000000,0,0.492018,clean_26
clean,0.000000,0,0.471539,clean_27
clean,0.000000,0,0.477078,clean_28
clean,0.000000,0,0.473022,clean_29
clean,0.000000,0,0.481193,clean_30
clean,0.000000,0,0.474676,clean_31
clean,0.000000,0,0.485315,clean_32
clean,0.000000,0,0.459664,clean_33
clean,0.000000,0,0.466498,clean_34
clean,0.000000,0,0.473113,clean_35
clean,0.000000,0,0.457705,clean_36
clean,0.000000,0,0.482189,clean_37
clean,0.000000,0,0.487996,clean_38
clean,0.000000,0,0.489531,clean_39
clean,0.000000,0,0.482369,clean_40
clean,0.000000,0,0.462471,clean_41
clean,0.000000,0,0.467376,clean_42
clean,0.000000,0,0.469260,clean_43
clean,0.000000,0,0.478131,clean_44
clean,0.000000,0,0.477306,clean_45
clean,0.000000,0,0.482570,clean_46
clean,0.000000,1,0.517997,clean_47
clean,0.000000,0,0.447711,clean_48
clean,0.000000,0,0.499233,clean_49
clean,0.000000,0,0.447803,clean_50
clean,0.000000,0,0.485716,clean_51
clean,0.000000,0,0.486480,clean_52
clean,0.000000,0,0.460282,clean_53
clean,0.000000,0,0.467782,clean_54
clean,0.000000,0,0.475421,clean_55
clean,0.000000,0,0.459450,clean_56
clean,0.000000,0,0.457210,clean_57
clean,0.000000,0,0.448605,clean_58
clean,0.000000,0,0.472839,clean_59
clean,0.000000,0,0.472877,clean_60
clean,0.000000,0,0.439477,clean_61
clean,0.000000,0,0.455785,clean_62
clean,0.000000,0,0.473192,clean_63
clean,0.000000,0,0.448780,clean_64
clean,0.000000,0,0.483092,clean_65
clean,0.000000,0,0.458389,clean_66
clean,0.000000,0,0.458578,clean_67
clean,0.000000,0,0.471691,clean_68
clean,0.000000,0,0.492786,clean_69
clean,0.000000,0,0.452243,clean_70
clean,0.000000,0,0.493203,clean_71
clean,0.000000,0,0.477756,clean_72
clean,0.000000,0,0.471756,clean_73
clean,0.000000,0,0.451239,clean_74
clean,0.000000,0,0.473036,clean_75
clean,0.000000,0,0.484930,clean_76
clean,0.000000,0,0.477523,clean_77
clean,0.000000,0,0.464481,clean_78
clean,0.000000,0,0.476289,clean_79
clean,0.000000,0,0.441045,clean_80
clean,0.000000,0,0.442965,clean_81
clean,0.000000,0,0.465468,clean_82
clean,0.000000,0,0.480019,clean_83
clean,0.000000,0,0.461402,clean_84
clean,0.000000,0,0.470309,clean_85
clean,0.000000,0,0.481538,clean_86
clean,0.000000,0,0.467245,clean_87
clean,0.000000,0,0.471438,clean_88
clean,0.000000,0,0.464844,clean_89
clean,0.000000,0,0.465186,clean_90
clean,0.000000,0,0.457658,clean_91
clean,0.000000,0,0.472468,clean_92
clean,0.000000,0,0.472008,clean_93
clean,0.000000,0,0.480893,clean_94
clean,0.000000,0,0.484467,clean_95
clean,0.000000,0,0.483662,clean_96
clean,0.000000,0,0.461898,clean_97
clean,0.000000,0,0.467540,clean_98
clean,0.000000,0,0.474327,clean_99
clean,0.000000,0,0.487236,clean_100
clean,0.000000,0,0.482069,clean_101
clean,0.000000,1,0.501094,clean_102
clean,0.000000,0,0.462965,clean_103
clean,0.000000,0,0.499333,clean_104
clean,0.000000,0,0.474570,clean_105
clean,0.000000,0,0.495876,clean_106
clean,0.000000,0,0.461600,clean_107
clean,0.000000,0,0.484969,clean_108
clean,0.000000,0,0.480951,clean_109
clean,0.000000,0,0.494658,clean_110
clean,0.000000,0,0.465382,clean_111
clean,0.000000,0,0.460617,clean_112
clean,0.000000,0,0.490343,clean_113
clean,0.000000,0,0.494080,clean_114
clean,0.000000,0,0.470391,clean_115
clean,0.000000,0,0.498327,clean_116
clean,0.000000,0,0.464394,clean_117
clean,0.000000,0,0.473610,clean_118
clean,0.000000,0,0.499820,clean_119
clean,0.000000,0,0.468816,clean_120
clean,0.000000,0,0.472962,clean_121
clean,0.000000,1,0.501282,clean_122
clean,0.000000,0,0.468347,clean_123
clean,0.000000,0,0.455100,clean_124
clean,0.000000,0,0.484050,clean_125
clean,0.000000,0,0.447040,clean_126
clean,0.000000,0,0.473301,clean_127
clean,0.000000,0,0.473043,clean_128
clean,0.000000,0,0.461214,clean_129
clean,0.000000,0,0.466665,clean_130
clean,0.000000,0,0.461100,clean_131
clean,0.000000,0,0.465736,clean_132
clean,0.000000,0,0.490936,clean_133
clean,0.000000,0,0.483818,clean_134
clean,0.000000,0,0.478735,clean_135
clean,0.000000,0,0.474739,clean_136
clean,0.000000,0,0.449835,clean_137
clean,0.000000,0,0.468608,clean_138
clean,0.000000,0,0.468785,clean_139
clean,0.000000,0,0.473567,clean_140
clean,0.000000,0,0.484308,clean_141
clean,0.000000,0,0.472438,clean_142
clean,0.000000,0,0.466809,clean_143
clean,0.000000,0,0.433095,clean_144
clean,0.000000,0,0.457238,clean_145
clean,0.000000,0,0.475465,clean_146
clean,0.000000,0,0.477355,clean_147
clean,0.000000,0,0.457963,clean_148
clean,0.000000,0,0.480915,clean_149
clean,0.000000,0,0.457491,clean_150
clean,0.000000,0,0.454377,clean_151
clean,0.000000,0,0.479988,clean_152
clean,0.000000,0,0.472754,clean_153
clean,0.000000,0,0.479437,clean_154
clean,0.000000,0,0.465972,clean_155
clean,0.000000,0,0.466296,clean_156
clean,0.000000,0,0.448747,clean_157
clean,0.000000,0,0.485166,clean_158
clean,0.000000,0,0.455657,clean_159
clean,0.000000,0,0.483100,clean_160
clean,0.000000,0,0.484913,clean_161
clean,0.000000,0,0.468533,clean_162
clean,0.000000,0,0.480974,clean_163
clean,0.000000,0,0.484447,clean_164
clean,0.000000,0,0.469745,clean_165
clean,0.000000,0,0.470805,clean_166
clean,0.000000,0,0.465191,clean_167
clean,0.000000,0,0.474223,clean_168
clean,0.000000,0,0.471400,clean_169
clean,0.000000,0,0.477177,clean_170
clean,0.000000,0,0.479231,clean_171
clean,0.000000,0,0.441764,clean_172
clean,0.000000,0,0.449630,clean_173
clean,0.000000,0,0.484716,clean_174
clean,0.000000,0,0.481754,clean_175
clean,0.000000,0,0.455040,clean_176
clean,0.000000,0,0.461241,clean_177
clean,0.000000,0,0.456564,clean_178
clean,0.000000,0,0.480310,clean_179
clean,0.000000,0,0.477786,clean_180
clean,0.000000,0,0.476701,clean_181
clean,0.000000,0,0.451725,clean_182
clean,0.000000,0,0.465804,clean_183
clean,0.000000,0,0.439748,clean_184
clean,0.000000,0,0.488348,clean_185
clean,0.000000,0,0.458543,clean_186
clean,0.000000,0,0.464493,clean_187
clean,0.000000,0,0.473231,clean_188
clean,0.000000,0,0.465183,clean_189
clean,0.000000,0,0.494712,clean_190
clean,0.000000,0,0.479888,clean_191
clean,0.000000,0,0.459479,clean_192
clean,0.000000,0,0.462551,clean_193
clean,0.000000,0,0.481429,clean_194
clean,0.000000,0,0.465158,clean_195
clean,0.000000,0,0.491906,clean_196
clean,0.000000,0,0.465859,clean_197
clean,0.000000,0,0.473594,clean_198
