epoch,val_acc,val_f1,val_ece,code_acc,math_acc,real_acc,timestamp
0,0.6608,0.5730,0.1478,0.6074,0.6167,0.7789,1771358955
1,0.7210,0.6735,0.1922,0.7769,0.6167,0.7789,1771358991
2,0.7871,0.7687,0.2489,0.9628,0.6167,0.7789,1771359010
3,0.7915,0.7739,0.2403,0.9752,0.6167,0.7789,1771359030
4,0.8018,0.7861,0.2331,1.0000,0.6167,0.7839,1771359060
5,0.8062,0.7864,0.2239,0.9835,0.6167,0.8191,1771359097
6,0.8634,0.8453,0.2705,1.0000,0.6417,0.9648,1771359132
7,0.8620,0.8401,0.2391,1.0000,0.6167,0.9899,1771359166
8,0.8664,0.8455,0.2272,1.0000,0.6292,0.9899,1771359198
9,0.8664,0.8455,0.2083,1.0000,0.6250,0.9950,1771359223
10,0.8855,0.8774,0.2272,1.0000,0.6750,1.0000,1771359244
11,0.8899,0.8823,0.2148,1.0000,0.6875,1.0000,1771359274
12,0.8943,0.8824,0.2034,1.0000,0.7000,1.0000,1771359299
13,0.8840,0.8830,0.1918,1.0000,0.6708,1.0000,1771359319
14,0.8972,0.8867,0.1926,1.0000,0.7083,1.0000,1771359339
15,0.8913,0.8783,0.1806,1.0000,0.6917,1.0000,1771359357
16,0.8987,0.8903,0.1878,1.0000,0.7125,1.0000,1771359376
17,0.8987,0.8878,0.1772,1.0000,0.7125,1.0000,1771359399
18,0.8913,0.8814,0.1715,1.0000,0.6917,1.0000,1771359422
19,0.8972,0.8867,0.1720,1.0000,0.7083,1.0000,1771359443
20,0.9001,0.8914,0.1762,1.0000,0.7167,1.0000,1771359462
21,0.8957,0.8906,0.1728,1.0000,0.7042,1.0000,1771359482
22,0.9001,0.8900,0.1727,1.0000,0.7167,1.0000,1771359503
23,0.8972,0.8933,0.1734,1.0000,0.7083,1.0000,1771359526
24,0.8928,0.8839,0.1673,1.0000,0.6958,1.0000,1771359548
25,0.8943,0.8885,0.1694,1.0000,0.7000,1.0000,1771359569
26,0.8928,0.8854,0.1646,1.0000,0.6958,1.0000,1771359590
27,0.8913,0.8847,0.1653,1.0000,0.6917,1.0000,1771359609
28,0.8943,0.8922,0.1672,1.0000,0.7000,1.0000,1771359629
29,0.8943,0.8885,0.1662,1.0000,0.7000,1.0000,1771359651
30,0.8928,0.8847,0.1646,1.0000,0.6958,1.0000,1771359671
31,0.8987,0.8940,0.1697,1.0000,0.7125,1.0000,1771359691
32,0.8957,0.8899,0.1655,1.0000,0.7042,1.0000,1771359713
33,0.8943,0.8864,0.1629,1.0000,0.7000,1.0000,1771359742
34,0.8943,0.8889,0.1632,1.0000,0.7000,1.0000,1771359770
35,0.9001,0.8921,0.1659,1.0000,0.7167,1.0000,1771359798
36,0.9016,0.8989,0.1700,1.0000,0.7208,1.0000,1771359828
